,pop,ZCTA5CE10
"ZCTA5 60465: Summary level: unknown, state:17> zip code tabulation area:60465",17345,60465
"ZCTA5 60468: Summary level: unknown, state:17> zip code tabulation area:60468",6005,60468
"ZCTA5 60469: Summary level: unknown, state:17> zip code tabulation area:60469",5795,60469
"ZCTA5 60538: Summary level: unknown, state:17> zip code tabulation area:60538",29343,60538
"ZCTA5 60552: Summary level: unknown, state:17> zip code tabulation area:60552",4348,60552
"ZCTA5 60555: Summary level: unknown, state:17> zip code tabulation area:60555",13273,60555
"ZCTA5 60556: Summary level: unknown, state:17> zip code tabulation area:60556",2124,60556
"ZCTA5 60561: Summary level: unknown, state:17> zip code tabulation area:60561",22955,60561
"ZCTA5 60614: Summary level: unknown, state:17> zip code tabulation area:60614",71954,60614
"ZCTA5 60615: Summary level: unknown, state:17> zip code tabulation area:60615",40590,60615
"ZCTA5 60619: Summary level: unknown, state:17> zip code tabulation area:60619",61207,60619
"ZCTA5 60621: Summary level: unknown, state:17> zip code tabulation area:60621",28018,60621
"ZCTA5 60636: Summary level: unknown, state:17> zip code tabulation area:60636",30024,60636
"ZCTA5 60639: Summary level: unknown, state:17> zip code tabulation area:60639",88204,60639
"ZCTA5 60643: Summary level: unknown, state:17> zip code tabulation area:60643",48887,60643
"ZCTA5 60647: Summary level: unknown, state:17> zip code tabulation area:60647",87633,60647
"ZCTA5 60935: Summary level: unknown, state:17> zip code tabulation area:60935",1229,60935
"ZCTA5 60936: Summary level: unknown, state:17> zip code tabulation area:60936",4074,60936
"ZCTA5 60948: Summary level: unknown, state:17> zip code tabulation area:60948",1570,60948
"ZCTA5 60950: Summary level: unknown, state:17> zip code tabulation area:60950",11592,60950
"ZCTA5 60960: Summary level: unknown, state:17> zip code tabulation area:60960",1036,60960
"ZCTA5 60969: Summary level: unknown, state:17> zip code tabulation area:60969",78,60969
"ZCTA5 60973: Summary level: unknown, state:17> zip code tabulation area:60973",345,60973
"ZCTA5 60004: Summary level: unknown, state:17> zip code tabulation area:60004",50639,60004
"ZCTA5 60033: Summary level: unknown, state:17> zip code tabulation area:60033",13703,60033
"ZCTA5 60042: Summary level: unknown, state:17> zip code tabulation area:60042",8556,60042
"ZCTA5 60043: Summary level: unknown, state:17> zip code tabulation area:60043",2460,60043
"ZCTA5 60093: Summary level: unknown, state:17> zip code tabulation area:60093",19409,60093
"ZCTA5 60108: Summary level: unknown, state:17> zip code tabulation area:60108",22494,60108
"ZCTA5 60109: Summary level: unknown, state:17> zip code tabulation area:60109",614,60109
"ZCTA5 60119: Summary level: unknown, state:17> zip code tabulation area:60119",10119,60119
"ZCTA5 60130: Summary level: unknown, state:17> zip code tabulation area:60130",13927,60130
"ZCTA5 60136: Summary level: unknown, state:17> zip code tabulation area:60136",7823,60136
"ZCTA5 60150: Summary level: unknown, state:17> zip code tabulation area:60150",1934,60150
"ZCTA5 60178: Summary level: unknown, state:17> zip code tabulation area:60178",22374,60178
"ZCTA5 60191: Summary level: unknown, state:17> zip code tabulation area:60191",14021,60191
"ZCTA5 60195: Summary level: unknown, state:17> zip code tabulation area:60195",5020,60195
"ZCTA5 60421: Summary level: unknown, state:17> zip code tabulation area:60421",3810,60421
"ZCTA5 60431: Summary level: unknown, state:17> zip code tabulation area:60431",24202,60431
"ZCTA5 60432: Summary level: unknown, state:17> zip code tabulation area:60432",20062,60432
"ZCTA5 60163: Summary level: unknown, state:17> zip code tabulation area:60163",5103,60163
"ZCTA5 60171: Summary level: unknown, state:17> zip code tabulation area:60171",10076,60171
"ZCTA5 60174: Summary level: unknown, state:17> zip code tabulation area:60174",31219,60174
"ZCTA5 60194: Summary level: unknown, state:17> zip code tabulation area:60194",19525,60194
"ZCTA5 60305: Summary level: unknown, state:17> zip code tabulation area:60305",10970,60305
"ZCTA5 60420: Summary level: unknown, state:17> zip code tabulation area:60420",4846,60420
"ZCTA5 60423: Summary level: unknown, state:17> zip code tabulation area:60423",31418,60423
"ZCTA5 60020: Summary level: unknown, state:17> zip code tabulation area:60020",10422,60020
"ZCTA5 60034: Summary level: unknown, state:17> zip code tabulation area:60034",2088,60034
"ZCTA5 60047: Summary level: unknown, state:17> zip code tabulation area:60047",42608,60047
"ZCTA5 60070: Summary level: unknown, state:17> zip code tabulation area:60070",15908,60070
"ZCTA5 60008: Summary level: unknown, state:17> zip code tabulation area:60008",21663,60008
"ZCTA5 60160: Summary level: unknown, state:17> zip code tabulation area:60160",25666,60160
"ZCTA5 60091: Summary level: unknown, state:17> zip code tabulation area:60091",27165,60091
"ZCTA5 60111: Summary level: unknown, state:17> zip code tabulation area:60111",163,60111
"ZCTA5 60142: Summary level: unknown, state:17> zip code tabulation area:60142",28647,60142
"ZCTA5 60157: Summary level: unknown, state:17> zip code tabulation area:60157",2970,60157
"ZCTA5 60430: Summary level: unknown, state:17> zip code tabulation area:60430",19691,60430
"ZCTA5 60603: Summary level: unknown, state:17> zip code tabulation area:60603",1052,60603
"ZCTA5 60914: Summary level: unknown, state:17> zip code tabulation area:60914",29797,60914
"ZCTA5 60964: Summary level: unknown, state:17> zip code tabulation area:60964",4857,60964
"ZCTA5 60924: Summary level: unknown, state:17> zip code tabulation area:60924",1515,60924
"ZCTA5 60053: Summary level: unknown, state:17> zip code tabulation area:60053",23089,60053
"ZCTA5 60478: Summary level: unknown, state:17> zip code tabulation area:60478",16769,60478
"ZCTA5 60501: Summary level: unknown, state:17> zip code tabulation area:60501",11874,60501
"ZCTA5 60504: Summary level: unknown, state:17> zip code tabulation area:60504",39070,60504
"ZCTA5 60510: Summary level: unknown, state:17> zip code tabulation area:60510",29332,60510
"ZCTA5 60512: Summary level: unknown, state:17> zip code tabulation area:60512",1010,60512
"ZCTA5 60513: Summary level: unknown, state:17> zip code tabulation area:60513",18753,60513
"ZCTA5 60516: Summary level: unknown, state:17> zip code tabulation area:60516",29208,60516
"ZCTA5 60526: Summary level: unknown, state:17> zip code tabulation area:60526",13451,60526
"ZCTA5 60532: Summary level: unknown, state:17> zip code tabulation area:60532",27956,60532
"ZCTA5 60549: Summary level: unknown, state:17> zip code tabulation area:60549",190,60549
"ZCTA5 60534: Summary level: unknown, state:17> zip code tabulation area:60534",10452,60534
"ZCTA5 60544: Summary level: unknown, state:17> zip code tabulation area:60544",27426,60544
"ZCTA5 60548: Summary level: unknown, state:17> zip code tabulation area:60548",12054,60548
"ZCTA5 60557: Summary level: unknown, state:17> zip code tabulation area:60557",280,60557
"ZCTA5 60607: Summary level: unknown, state:17> zip code tabulation area:60607",29293,60607
"ZCTA5 60609: Summary level: unknown, state:17> zip code tabulation area:60609",60939,60609
"ZCTA5 60625: Summary level: unknown, state:17> zip code tabulation area:60625",79444,60625
"ZCTA5 60646: Summary level: unknown, state:17> zip code tabulation area:60646",28569,60646
"ZCTA5 60652: Summary level: unknown, state:17> zip code tabulation area:60652",43447,60652
"ZCTA5 60805: Summary level: unknown, state:17> zip code tabulation area:60805",19479,60805
"ZCTA5 60912: Summary level: unknown, state:17> zip code tabulation area:60912",502,60912
"ZCTA5 60922: Summary level: unknown, state:17> zip code tabulation area:60922",2576,60922
"ZCTA5 60926: Summary level: unknown, state:17> zip code tabulation area:60926",42,60926
"ZCTA5 60930: Summary level: unknown, state:17> zip code tabulation area:60930",985,60930
"ZCTA5 60932: Summary level: unknown, state:17> zip code tabulation area:60932",61,60932
"ZCTA5 60938: Summary level: unknown, state:17> zip code tabulation area:60938",1975,60938
"ZCTA5 60945: Summary level: unknown, state:17> zip code tabulation area:60945",179,60945
"ZCTA5 60007: Summary level: unknown, state:17> zip code tabulation area:60007",33161,60007
"ZCTA5 60012: Summary level: unknown, state:17> zip code tabulation area:60012",10647,60012
"ZCTA5 60013: Summary level: unknown, state:17> zip code tabulation area:60013",26454,60013
"ZCTA5 62560: Summary level: unknown, state:17> zip code tabulation area:62560",1355,62560
"ZCTA5 62570: Summary level: unknown, state:17> zip code tabulation area:62570",454,62570
"ZCTA5 62617: Summary level: unknown, state:17> zip code tabulation area:62617",659,62617
"ZCTA5 62638: Summary level: unknown, state:17> zip code tabulation area:62638",1242,62638
"ZCTA5 62640: Summary level: unknown, state:17> zip code tabulation area:62640",3668,62640
"ZCTA5 62663: Summary level: unknown, state:17> zip code tabulation area:62663",258,62663
"ZCTA5 62685: Summary level: unknown, state:17> zip code tabulation area:62685",2310,62685
"ZCTA5 62692: Summary level: unknown, state:17> zip code tabulation area:62692",2152,62692
"ZCTA5 62703: Summary level: unknown, state:17> zip code tabulation area:62703",29830,62703
"ZCTA5 62811: Summary level: unknown, state:17> zip code tabulation area:62811",290,62811
"ZCTA5 62812: Summary level: unknown, state:17> zip code tabulation area:62812",10881,62812
"ZCTA5 62816: Summary level: unknown, state:17> zip code tabulation area:62816",1276,62816
"ZCTA5 62815: Summary level: unknown, state:17> zip code tabulation area:62815",284,62815
"ZCTA5 62868: Summary level: unknown, state:17> zip code tabulation area:62868",1986,62868
"ZCTA5 62898: Summary level: unknown, state:17> zip code tabulation area:62898",2184,62898
"ZCTA5 62853: Summary level: unknown, state:17> zip code tabulation area:62853",894,62853
"ZCTA5 62861: Summary level: unknown, state:17> zip code tabulation area:62861",166,62861
"ZCTA5 62907: Summary level: unknown, state:17> zip code tabulation area:62907",2007,62907
"ZCTA5 62076: Summary level: unknown, state:17> zip code tabulation area:62076",122,62076
"ZCTA5 62098: Summary level: unknown, state:17> zip code tabulation area:62098",18,62098
"ZCTA5 62248: Summary level: unknown, state:17> zip code tabulation area:62248",396,62248
"ZCTA5 62282: Summary level: unknown, state:17> zip code tabulation area:62282",389,62282
"ZCTA5 62305: Summary level: unknown, state:17> zip code tabulation area:62305",19081,62305
"ZCTA5 62622: Summary level: unknown, state:17> zip code tabulation area:62622",42,62622
"ZCTA5 62711: Summary level: unknown, state:17> zip code tabulation area:62711",16880,62711
"ZCTA5 62712: Summary level: unknown, state:17> zip code tabulation area:62712",10395,62712
"ZCTA5 62841: Summary level: unknown, state:17> zip code tabulation area:62841",150,62841
"ZCTA5 62856: Summary level: unknown, state:17> zip code tabulation area:62856",373,62856
"ZCTA5 62902: Summary level: unknown, state:17> zip code tabulation area:62902",4358,62902
"ZCTA5 62205: Summary level: unknown, state:17> zip code tabulation area:62205",7781,62205
"ZCTA5 60021: Summary level: unknown, state:17> zip code tabulation area:60021",5276,60021
"ZCTA5 60031: Summary level: unknown, state:17> zip code tabulation area:60031",37545,60031
"ZCTA5 60040: Summary level: unknown, state:17> zip code tabulation area:60040",5310,60040
"ZCTA5 60041: Summary level: unknown, state:17> zip code tabulation area:60041",8659,60041
"ZCTA5 60045: Summary level: unknown, state:17> zip code tabulation area:60045",21134,60045
"ZCTA5 60061: Summary level: unknown, state:17> zip code tabulation area:60061",26967,60061
"ZCTA5 60069: Summary level: unknown, state:17> zip code tabulation area:60069",8225,60069
"ZCTA5 60071: Summary level: unknown, state:17> zip code tabulation area:60071",3737,60071
"ZCTA5 60084: Summary level: unknown, state:17> zip code tabulation area:60084",16613,60084
"ZCTA5 60088: Summary level: unknown, state:17> zip code tabulation area:60088",12816,60088
"ZCTA5 60112: Summary level: unknown, state:17> zip code tabulation area:60112",4422,60112
"ZCTA5 60123: Summary level: unknown, state:17> zip code tabulation area:60123",48948,60123
"ZCTA5 60134: Summary level: unknown, state:17> zip code tabulation area:60134",29458,60134
"ZCTA5 60139: Summary level: unknown, state:17> zip code tabulation area:60139",34160,60139
"ZCTA5 60140: Summary level: unknown, state:17> zip code tabulation area:60140",18568,60140
"ZCTA5 60152: Summary level: unknown, state:17> zip code tabulation area:60152",12186,60152
"ZCTA5 60172: Summary level: unknown, state:17> zip code tabulation area:60172",24371,60172
"ZCTA5 60176: Summary level: unknown, state:17> zip code tabulation area:60176",11621,60176
"ZCTA5 60177: Summary level: unknown, state:17> zip code tabulation area:60177",23310,60177
"ZCTA5 60180: Summary level: unknown, state:17> zip code tabulation area:60180",1813,60180
"ZCTA5 60181: Summary level: unknown, state:17> zip code tabulation area:60181",28755,60181
"ZCTA5 60190: Summary level: unknown, state:17> zip code tabulation area:60190",11375,60190
"ZCTA5 60203: Summary level: unknown, state:17> zip code tabulation area:60203",4397,60203
"ZCTA5 60301: Summary level: unknown, state:17> zip code tabulation area:60301",2831,60301
"ZCTA5 60302: Summary level: unknown, state:17> zip code tabulation area:60302",31620,60302
"ZCTA5 60304: Summary level: unknown, state:17> zip code tabulation area:60304",17782,60304
"ZCTA5 60949: Summary level: unknown, state:17> zip code tabulation area:60949",488,60949
"ZCTA5 60953: Summary level: unknown, state:17> zip code tabulation area:60953",2425,60953
"ZCTA5 60957: Summary level: unknown, state:17> zip code tabulation area:60957",5311,60957
"ZCTA5 60959: Summary level: unknown, state:17> zip code tabulation area:60959",1081,60959
"ZCTA5 60974: Summary level: unknown, state:17> zip code tabulation area:60974",211,60974
"ZCTA5 60966: Summary level: unknown, state:17> zip code tabulation area:60966",1541,60966
"ZCTA5 60968: Summary level: unknown, state:17> zip code tabulation area:60968",474,60968
"ZCTA5 62903: Summary level: unknown, state:17> zip code tabulation area:62903",3242,62903
"ZCTA5 62961: Summary level: unknown, state:17> zip code tabulation area:62961",31,62961
"ZCTA5 62965: Summary level: unknown, state:17> zip code tabulation area:62965",95,62965
"ZCTA5 62413: Summary level: unknown, state:17> zip code tabulation area:62413",277,62413
"ZCTA5 62268: Summary level: unknown, state:17> zip code tabulation area:62268",861,62268
"ZCTA5 62343: Summary level: unknown, state:17> zip code tabulation area:62343",860,62343
"ZCTA5 62473: Summary level: unknown, state:17> zip code tabulation area:62473",1262,62473
"ZCTA5 62571: Summary level: unknown, state:17> zip code tabulation area:62571",1628,62571
"ZCTA5 62952: Summary level: unknown, state:17> zip code tabulation area:62952",3144,62952
"ZCTA5 62610: Summary level: unknown, state:17> zip code tabulation area:62610",119,62610
"ZCTA5 62928: Summary level: unknown, state:17> zip code tabulation area:62928",192,62928
"ZCTA5 62914: Summary level: unknown, state:17> zip code tabulation area:62914",2375,62914
"ZCTA5 62917: Summary level: unknown, state:17> zip code tabulation area:62917",2154,62917
"ZCTA5 62924: Summary level: unknown, state:17> zip code tabulation area:62924",2956,62924
"ZCTA5 62931: Summary level: unknown, state:17> zip code tabulation area:62931",1484,62931
"ZCTA5 62034: Summary level: unknown, state:17> zip code tabulation area:62034",13487,62034
"ZCTA5 62049: Summary level: unknown, state:17> zip code tabulation area:62049",8513,62049
"ZCTA5 62056: Summary level: unknown, state:17> zip code tabulation area:62056",8507,62056
"ZCTA5 62065: Summary level: unknown, state:17> zip code tabulation area:62065",127,62065
"ZCTA5 62080: Summary level: unknown, state:17> zip code tabulation area:62080",2355,62080
"ZCTA5 62083: Summary level: unknown, state:17> zip code tabulation area:62083",167,62083
"ZCTA5 62090: Summary level: unknown, state:17> zip code tabulation area:62090",1417,62090
"ZCTA5 62203: Summary level: unknown, state:17> zip code tabulation area:62203",8366,62203
"ZCTA5 62217: Summary level: unknown, state:17> zip code tabulation area:62217",773,62217
"ZCTA5 62218: Summary level: unknown, state:17> zip code tabulation area:62218",1713,62218
"ZCTA5 62288: Summary level: unknown, state:17> zip code tabulation area:62288",2891,62288
"ZCTA5 62293: Summary level: unknown, state:17> zip code tabulation area:62293",4437,62293
"ZCTA5 62312: Summary level: unknown, state:17> zip code tabulation area:62312",1951,62312
"ZCTA5 62319: Summary level: unknown, state:17> zip code tabulation area:62319",219,62319
"ZCTA5 62691: Summary level: unknown, state:17> zip code tabulation area:62691",2020,62691
"ZCTA5 62803: Summary level: unknown, state:17> zip code tabulation area:62803",1142,62803
"ZCTA5 62814: Summary level: unknown, state:17> zip code tabulation area:62814",2046,62814
"ZCTA5 62824: Summary level: unknown, state:17> zip code tabulation area:62824",1888,62824
"ZCTA5 62825: Summary level: unknown, state:17> zip code tabulation area:62825",192,62825
"ZCTA5 62839: Summary level: unknown, state:17> zip code tabulation area:62839",6401,62839
"ZCTA5 62848: Summary level: unknown, state:17> zip code tabulation area:62848",692,62848
"ZCTA5 62854: Summary level: unknown, state:17> zip code tabulation area:62854",1495,62854
"ZCTA5 62860: Summary level: unknown, state:17> zip code tabulation area:62860",561,62860
"ZCTA5 62871: Summary level: unknown, state:17> zip code tabulation area:62871",698,62871
"ZCTA5 62882: Summary level: unknown, state:17> zip code tabulation area:62882",2437,62882
"ZCTA5 62549: Summary level: unknown, state:17> zip code tabulation area:62549",6354,62549
"ZCTA5 62536: Summary level: unknown, state:17> zip code tabulation area:62536",667,62536
"ZCTA5 62543: Summary level: unknown, state:17> zip code tabulation area:62543",483,62543
"ZCTA5 62545: Summary level: unknown, state:17> zip code tabulation area:62545",1158,62545
"ZCTA5 62553: Summary level: unknown, state:17> zip code tabulation area:62553",528,62553
"ZCTA5 62555: Summary level: unknown, state:17> zip code tabulation area:62555",456,62555
"ZCTA5 62557: Summary level: unknown, state:17> zip code tabulation area:62557",7127,62557
"ZCTA5 62565: Summary level: unknown, state:17> zip code tabulation area:62565",7046,62565
"ZCTA5 62601: Summary level: unknown, state:17> zip code tabulation area:62601",293,62601
"ZCTA5 62438: Summary level: unknown, state:17> zip code tabulation area:62438",334,62438
"ZCTA5 62360: Summary level: unknown, state:17> zip code tabulation area:62360",1651,62360
"ZCTA5 62410: Summary level: unknown, state:17> zip code tabulation area:62410",1377,62410
"ZCTA5 61375: Summary level: unknown, state:17> zip code tabulation area:61375",1136,61375
"ZCTA5 61431: Summary level: unknown, state:17> zip code tabulation area:61431",252,61431
"ZCTA5 61337: Summary level: unknown, state:17> zip code tabulation area:61337",458,61337
"ZCTA5 61488: Summary level: unknown, state:17> zip code tabulation area:61488",1149,61488
"ZCTA5 61443: Summary level: unknown, state:17> zip code tabulation area:61443",13736,61443
"ZCTA5 61465: Summary level: unknown, state:17> zip code tabulation area:61465",1162,61465
"ZCTA5 61476: Summary level: unknown, state:17> zip code tabulation area:61476",433,61476
"ZCTA5 61483: Summary level: unknown, state:17> zip code tabulation area:61483",1923,61483
"ZCTA5 61516: Summary level: unknown, state:17> zip code tabulation area:61516",784,61516
"ZCTA5 61523: Summary level: unknown, state:17> zip code tabulation area:61523",11055,61523
"ZCTA5 61524: Summary level: unknown, state:17> zip code tabulation area:61524",300,61524
"ZCTA5 61534: Summary level: unknown, state:17> zip code tabulation area:61534",1835,61534
"ZCTA5 61559: Summary level: unknown, state:17> zip code tabulation area:61559",3223,61559
"ZCTA5 61603: Summary level: unknown, state:17> zip code tabulation area:61603",16695,61603
"ZCTA5 61013: Summary level: unknown, state:17> zip code tabulation area:61013",456,61013
"ZCTA5 61822: Summary level: unknown, state:17> zip code tabulation area:61822",25530,61822
"ZCTA5 61831: Summary level: unknown, state:17> zip code tabulation area:61831",139,61831
"ZCTA5 61870: Summary level: unknown, state:17> zip code tabulation area:61870",1265,61870
"ZCTA5 61840: Summary level: unknown, state:17> zip code tabulation area:61840",619,61840
"ZCTA5 62221: Summary level: unknown, state:17> zip code tabulation area:62221",30301,62221
"ZCTA5 62232: Summary level: unknown, state:17> zip code tabulation area:62232",6828,62232
"ZCTA5 62233: Summary level: unknown, state:17> zip code tabulation area:62233",9521,62233
"ZCTA5 62240: Summary level: unknown, state:17> zip code tabulation area:62240",1507,62240
"ZCTA5 62244: Summary level: unknown, state:17> zip code tabulation area:62244",1006,62244
"ZCTA5 62245: Summary level: unknown, state:17> zip code tabulation area:62245",1795,62245
"ZCTA5 62254: Summary level: unknown, state:17> zip code tabulation area:62254",6189,62254
"ZCTA5 62279: Summary level: unknown, state:17> zip code tabulation area:62279",0,62279
"ZCTA5 62298: Summary level: unknown, state:17> zip code tabulation area:62298",16826,62298
"ZCTA5 62301: Summary level: unknown, state:17> zip code tabulation area:62301",32350,62301
"ZCTA5 62313: Summary level: unknown, state:17> zip code tabulation area:62313",372,62313
"ZCTA5 62346: Summary level: unknown, state:17> zip code tabulation area:62346",160,62346
"ZCTA5 62355: Summary level: unknown, state:17> zip code tabulation area:62355",745,62355
"ZCTA5 62363: Summary level: unknown, state:17> zip code tabulation area:62363",5694,62363
"ZCTA5 62365: Summary level: unknown, state:17> zip code tabulation area:62365",477,62365
"ZCTA5 62376: Summary level: unknown, state:17> zip code tabulation area:62376",1110,62376
"ZCTA5 62411: Summary level: unknown, state:17> zip code tabulation area:62411",4145,62411
"ZCTA5 62418: Summary level: unknown, state:17> zip code tabulation area:62418",2180,62418
"ZCTA5 62424: Summary level: unknown, state:17> zip code tabulation area:62424",2421,62424
"ZCTA5 62444: Summary level: unknown, state:17> zip code tabulation area:62444",370,62444
"ZCTA5 62454: Summary level: unknown, state:17> zip code tabulation area:62454",11166,62454
"ZCTA5 62459: Summary level: unknown, state:17> zip code tabulation area:62459",344,62459
"ZCTA5 62461: Summary level: unknown, state:17> zip code tabulation area:62461",724,62461
"ZCTA5 62463: Summary level: unknown, state:17> zip code tabulation area:62463",1230,62463
"ZCTA5 62522: Summary level: unknown, state:17> zip code tabulation area:62522",15379,62522
"ZCTA5 62523: Summary level: unknown, state:17> zip code tabulation area:62523",1382,62523
"ZCTA5 62526: Summary level: unknown, state:17> zip code tabulation area:62526",31544,62526
"ZCTA5 62556: Summary level: unknown, state:17> zip code tabulation area:62556",344,62556
"ZCTA5 62612: Summary level: unknown, state:17> zip code tabulation area:62612",1832,62612
"ZCTA5 62644: Summary level: unknown, state:17> zip code tabulation area:62644",4921,62644
"ZCTA5 62650: Summary level: unknown, state:17> zip code tabulation area:62650",26524,62650
"ZCTA5 62682: Summary level: unknown, state:17> zip code tabulation area:62682",963,62682
"ZCTA5 62684: Summary level: unknown, state:17> zip code tabulation area:62684",5840,62684
"ZCTA5 62688: Summary level: unknown, state:17> zip code tabulation area:62688",699,62688
"ZCTA5 62808: Summary level: unknown, state:17> zip code tabulation area:62808",1490,62808
"ZCTA5 62820: Summary level: unknown, state:17> zip code tabulation area:62820",183,62820
"ZCTA5 62837: Summary level: unknown, state:17> zip code tabulation area:62837",8826,62837
"ZCTA5 62850: Summary level: unknown, state:17> zip code tabulation area:62850",348,62850
"ZCTA5 62863: Summary level: unknown, state:17> zip code tabulation area:62863",9611,62863
"ZCTA5 62874: Summary level: unknown, state:17> zip code tabulation area:62874",426,62874
"ZCTA5 62954: Summary level: unknown, state:17> zip code tabulation area:62954",456,62954
"ZCTA5 62894: Summary level: unknown, state:17> zip code tabulation area:62894",1074,62894
"ZCTA5 62918: Summary level: unknown, state:17> zip code tabulation area:62918",10177,62918
"ZCTA5 62943: Summary level: unknown, state:17> zip code tabulation area:62943",372,62943
"ZCTA5 62974: Summary level: unknown, state:17> zip code tabulation area:62974",1653,62974
"ZCTA5 62987: Summary level: unknown, state:17> zip code tabulation area:62987",1494,62987
"ZCTA5 62830: Summary level: unknown, state:17> zip code tabulation area:62830",1229,62830
"ZCTA5 62833: Summary level: unknown, state:17> zip code tabulation area:62833",420,62833
"ZCTA5 62849: Summary level: unknown, state:17> zip code tabulation area:62849",2085,62849
"ZCTA5 62939: Summary level: unknown, state:17> zip code tabulation area:62939",2936,62939
"ZCTA5 62910: Summary level: unknown, state:17> zip code tabulation area:62910",2367,62910
"ZCTA5 62926: Summary level: unknown, state:17> zip code tabulation area:62926",2373,62926
"ZCTA5 62938: Summary level: unknown, state:17> zip code tabulation area:62938",2994,62938
"ZCTA5 62941: Summary level: unknown, state:17> zip code tabulation area:62941",740,62941
"ZCTA5 62996: Summary level: unknown, state:17> zip code tabulation area:62996",520,62996
"ZCTA5 62208: Summary level: unknown, state:17> zip code tabulation area:62208",16544,62208
"ZCTA5 62214: Summary level: unknown, state:17> zip code tabulation area:62214",1332,62214
"ZCTA5 62002: Summary level: unknown, state:17> zip code tabulation area:62002",31087,62002
"ZCTA5 62009: Summary level: unknown, state:17> zip code tabulation area:62009",1720,62009
"ZCTA5 61849: Summary level: unknown, state:17> zip code tabulation area:61849",1903,61849
"ZCTA5 61865: Summary level: unknown, state:17> zip code tabulation area:61865",1642,61865
"ZCTA5 61878: Summary level: unknown, state:17> zip code tabulation area:61878",1224,61878
"ZCTA5 61882: Summary level: unknown, state:17> zip code tabulation area:61882",653,61882
"ZCTA5 61883: Summary level: unknown, state:17> zip code tabulation area:61883",4289,61883
"ZCTA5 61932: Summary level: unknown, state:17> zip code tabulation area:61932",442,61932
"ZCTA5 61957: Summary level: unknown, state:17> zip code tabulation area:61957",1789,61957
"ZCTA5 61525: Summary level: unknown, state:17> zip code tabulation area:61525",8912,61525
"ZCTA5 61528: Summary level: unknown, state:17> zip code tabulation area:61528",2987,61528
"ZCTA5 61540: Summary level: unknown, state:17> zip code tabulation area:61540",2680,61540
"ZCTA5 61543: Summary level: unknown, state:17> zip code tabulation area:61543",137,61543
"ZCTA5 61547: Summary level: unknown, state:17> zip code tabulation area:61547",4047,61547
"ZCTA5 61564: Summary level: unknown, state:17> zip code tabulation area:61564",1082,61564
"ZCTA5 62359: Summary level: unknown, state:17> zip code tabulation area:62359",159,62359
"ZCTA5 62548: Summary level: unknown, state:17> zip code tabulation area:62548",2443,62548
"ZCTA5 62567: Summary level: unknown, state:17> zip code tabulation area:62567",1030,62567
"ZCTA5 62568: Summary level: unknown, state:17> zip code tabulation area:62568",15612,62568
"ZCTA5 62627: Summary level: unknown, state:17> zip code tabulation area:62627",910,62627
"ZCTA5 62643: Summary level: unknown, state:17> zip code tabulation area:62643",490,62643
"ZCTA5 61748: Summary level: unknown, state:17> zip code tabulation area:61748",2652,61748
"ZCTA5 61756: Summary level: unknown, state:17> zip code tabulation area:61756",2313,61756
"ZCTA5 61801: Summary level: unknown, state:17> zip code tabulation area:61801",31312,61801
"ZCTA5 61810: Summary level: unknown, state:17> zip code tabulation area:61810",285,61810
"ZCTA5 61453: Summary level: unknown, state:17> zip code tabulation area:61453",557,61453
"ZCTA5 61434: Summary level: unknown, state:17> zip code tabulation area:61434",2876,61434
"ZCTA5 61450: Summary level: unknown, state:17> zip code tabulation area:61450",1662,61450
"ZCTA5 61452: Summary level: unknown, state:17> zip code tabulation area:61452",216,61452
"ZCTA5 61738: Summary level: unknown, state:17> zip code tabulation area:61738",4391,61738
"ZCTA5 61740: Summary level: unknown, state:17> zip code tabulation area:61740",1482,61740
"ZCTA5 61753: Summary level: unknown, state:17> zip code tabulation area:61753",3083,61753
"ZCTA5 61755: Summary level: unknown, state:17> zip code tabulation area:61755",4783,61755
"ZCTA5 61778: Summary level: unknown, state:17> zip code tabulation area:61778",649,61778
"ZCTA5 61813: Summary level: unknown, state:17> zip code tabulation area:61813",1598,61813
"ZCTA5 61832: Summary level: unknown, state:17> zip code tabulation area:61832",34421,61832
"ZCTA5 61833: Summary level: unknown, state:17> zip code tabulation area:61833",2261,61833
"ZCTA5 61848: Summary level: unknown, state:17> zip code tabulation area:61848",242,61848
"ZCTA5 61859: Summary level: unknown, state:17> zip code tabulation area:61859",1276,61859
"ZCTA5 61871: Summary level: unknown, state:17> zip code tabulation area:61871",314,61871
"ZCTA5 61872: Summary level: unknown, state:17> zip code tabulation area:61872",589,61872
"ZCTA5 61884: Summary level: unknown, state:17> zip code tabulation area:61884",1031,61884
"ZCTA5 61925: Summary level: unknown, state:17> zip code tabulation area:61925",776,61925
"ZCTA5 61941: Summary level: unknown, state:17> zip code tabulation area:61941",87,61941
"ZCTA5 61001: Summary level: unknown, state:17> zip code tabulation area:61001",1074,61001
"ZCTA5 61024: Summary level: unknown, state:17> zip code tabulation area:61024",2465,61024
"ZCTA5 61030: Summary level: unknown, state:17> zip code tabulation area:61030",2249,61030
"ZCTA5 61047: Summary level: unknown, state:17> zip code tabulation area:61047",1669,61047
"ZCTA5 61057: Summary level: unknown, state:17> zip code tabulation area:61057",97,61057
"ZCTA5 61059: Summary level: unknown, state:17> zip code tabulation area:61059",202,61059
"ZCTA5 61061: Summary level: unknown, state:17> zip code tabulation area:61061",6434,61061
