,pop,ZCTA5CE10
"ZCTA5 62563: Summary level: unknown, state:17> zip code tabulation area:62563",5567,62563
"ZCTA5 62573: Summary level: unknown, state:17> zip code tabulation area:62573",1803,62573
"ZCTA5 62611: Summary level: unknown, state:17> zip code tabulation area:62611",1108,62611
"ZCTA5 62613: Summary level: unknown, state:17> zip code tabulation area:62613",3862,62613
"ZCTA5 62630: Summary level: unknown, state:17> zip code tabulation area:62630",430,62630
"ZCTA5 62047: Summary level: unknown, state:17> zip code tabulation area:62047",1691,62047
"ZCTA5 62053: Summary level: unknown, state:17> zip code tabulation area:62053",550,62053
"ZCTA5 62058: Summary level: unknown, state:17> zip code tabulation area:62058",704,62058
"ZCTA5 62061: Summary level: unknown, state:17> zip code tabulation area:62061",1631,62061
"ZCTA5 62062: Summary level: unknown, state:17> zip code tabulation area:62062",8078,62062
"ZCTA5 62070: Summary level: unknown, state:17> zip code tabulation area:62070",16,62070
"ZCTA5 62082: Summary level: unknown, state:17> zip code tabulation area:62082",2742,62082
"ZCTA5 62084: Summary level: unknown, state:17> zip code tabulation area:62084",1511,62084
"ZCTA5 62085: Summary level: unknown, state:17> zip code tabulation area:62085",162,62085
"ZCTA5 62086: Summary level: unknown, state:17> zip code tabulation area:62086",1224,62086
"ZCTA5 62633: Summary level: unknown, state:17> zip code tabulation area:62633",562,62633
"ZCTA5 62634: Summary level: unknown, state:17> zip code tabulation area:62634",843,62634
"ZCTA5 62639: Summary level: unknown, state:17> zip code tabulation area:62639",294,62639
"ZCTA5 62665: Summary level: unknown, state:17> zip code tabulation area:62665",1399,62665
"ZCTA5 62673: Summary level: unknown, state:17> zip code tabulation area:62673",416,62673
"ZCTA5 62674: Summary level: unknown, state:17> zip code tabulation area:62674",1393,62674
"ZCTA5 62689: Summary level: unknown, state:17> zip code tabulation area:62689",567,62689
"ZCTA5 62702: Summary level: unknown, state:17> zip code tabulation area:62702",33563,62702
"ZCTA5 62707: Summary level: unknown, state:17> zip code tabulation area:62707",7097,62707
"ZCTA5 62817: Summary level: unknown, state:17> zip code tabulation area:62817",433,62817
"ZCTA5 62822: Summary level: unknown, state:17> zip code tabulation area:62822",2960,62822
"ZCTA5 62823: Summary level: unknown, state:17> zip code tabulation area:62823",1681,62823
"ZCTA5 62253: Summary level: unknown, state:17> zip code tabulation area:62253",544,62253
"ZCTA5 60185: Summary level: unknown, state:17> zip code tabulation area:60185",36100,60185
"ZCTA5 60188: Summary level: unknown, state:17> zip code tabulation area:60188",42214,60188
"ZCTA5 60401: Summary level: unknown, state:17> zip code tabulation area:60401",7990,60401
"ZCTA5 60422: Summary level: unknown, state:17> zip code tabulation area:60422",9941,60422
"ZCTA5 60424: Summary level: unknown, state:17> zip code tabulation area:60424",2326,60424
"ZCTA5 60425: Summary level: unknown, state:17> zip code tabulation area:60425",8842,60425
"ZCTA5 61416: Summary level: unknown, state:17> zip code tabulation area:61416",256,61416
"ZCTA5 61421: Summary level: unknown, state:17> zip code tabulation area:61421",1481,61421
"ZCTA5 61430: Summary level: unknown, state:17> zip code tabulation area:61430",654,61430
"ZCTA5 61747: Summary level: unknown, state:17> zip code tabulation area:61747",1439,61747
"ZCTA5 61743: Summary level: unknown, state:17> zip code tabulation area:61743",186,61743
"ZCTA5 61744: Summary level: unknown, state:17> zip code tabulation area:61744",1923,61744
"ZCTA5 60433: Summary level: unknown, state:17> zip code tabulation area:60433",16398,60433
"ZCTA5 60451: Summary level: unknown, state:17> zip code tabulation area:60451",35622,60451
"ZCTA5 60456: Summary level: unknown, state:17> zip code tabulation area:60456",4272,60456
"ZCTA5 60473: Summary level: unknown, state:17> zip code tabulation area:60473",22088,60473
"ZCTA5 60476: Summary level: unknown, state:17> zip code tabulation area:60476",2550,60476
"ZCTA5 60477: Summary level: unknown, state:17> zip code tabulation area:60477",37542,60477
"ZCTA5 60517: Summary level: unknown, state:17> zip code tabulation area:60517",32390,60517
"ZCTA5 60518: Summary level: unknown, state:17> zip code tabulation area:60518",3715,60518
"ZCTA5 60523: Summary level: unknown, state:17> zip code tabulation area:60523",10081,60523
"ZCTA5 60531: Summary level: unknown, state:17> zip code tabulation area:60531",1792,60531
"ZCTA5 60542: Summary level: unknown, state:17> zip code tabulation area:60542",18191,60542
"ZCTA5 60545: Summary level: unknown, state:17> zip code tabulation area:60545",13699,60545
"ZCTA5 60551: Summary level: unknown, state:17> zip code tabulation area:60551",5284,60551
"ZCTA5 60564: Summary level: unknown, state:17> zip code tabulation area:60564",42425,60564
"ZCTA5 60604: Summary level: unknown, state:17> zip code tabulation area:60604",823,60604
"ZCTA5 60612: Summary level: unknown, state:17> zip code tabulation area:60612",33735,60612
"ZCTA5 60613: Summary level: unknown, state:17> zip code tabulation area:60613",50761,60613
"ZCTA5 60617: Summary level: unknown, state:17> zip code tabulation area:60617",83553,60617
"ZCTA5 60618: Summary level: unknown, state:17> zip code tabulation area:60618",94907,60618
"ZCTA5 60624: Summary level: unknown, state:17> zip code tabulation area:60624",34892,60624
