,OverFifty,TotalPop,TRACTCE
"Census Tract 306.04, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:030604",1271,3344,030604
"Census Tract 307.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:030701",533,1712,030701
"Census Tract 307.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:030702",1084,2252,030702
"Census Tract 307.03, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:030703",1102,2909,030703
"Census Tract 307.06, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:030706",1415,2928,030706
"Census Tract 7004.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:700402",1229,4498,700402
"Census Tract 7005.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:700501",3189,6994,700501
"Census Tract 7005.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:700502",1416,3373,700502
"Census Tract 7302.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:730201",2291,5708,730201
"Census Tract 7302.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:730202",1495,3550,730202
"Census Tract 7608.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:760801",985,4298,760801
"Census Tract 8834.01, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883401",1723,4143,883401
"Census Tract 8834.02, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883402",818,2011,883402
"Census Tract 8835.07, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883507",1588,4002,883507
"Census Tract 8835.09, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883509",1281,4429,883509
"Census Tract 8835.10, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883510",1269,5313,883510
"Census Tract 8835.11, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883511",1476,4433,883511
"Census Tract 8835.13, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883513",1863,5871,883513
"Census Tract 8835.14, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883514",2374,7055,883514
"Census Tract 8835.15, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883515",1754,4166,883515
"Census Tract 8835.16, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883516",2447,7444,883516
"Census Tract 8835.17, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883517",1408,3496,883517
"Census Tract 8835.19, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883519",2570,5627,883519
"Census Tract 8835.21, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883521",1368,3872,883521
"Census Tract 8835.22, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883522",1569,3400,883522
"Census Tract 8836.05, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883605",639,2847,883605
"Census Tract 8836.06, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883606",1052,3881,883606
"Census Tract 8838.08, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883808",1059,1751,883808
"Census Tract 8838.09, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883809",1352,3085,883809
"Census Tract 8838.10, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883810",1714,3703,883810
"Census Tract 8838.11, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883811",1244,2927,883811
"Census Tract 8074, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:807400",2484,6847,807400
"Census Tract 8076, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:807600",2697,6261,807600
"Census Tract 8079, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:807900",1969,4052,807900
"Census Tract 8080.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:808001",1797,3617,808001
"Census Tract 8465.09, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846509",990,5560,846509
"Census Tract 8465.10, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846510",691,3158,846510
"Census Tract 8465.11, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846511",1687,6842,846511
"Census Tract 8465.13, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846513",824,2604,846513
"Census Tract 8465.14, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846514",1007,4201,846514
"Census Tract 8465.15, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846515",1142,4929,846515
"Census Tract 8465.17, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846517",1521,5933,846517
"Census Tract 8465.18, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846518",1215,3542,846518
"Census Tract 8465.19, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846519",814,2746,846519
"Census Tract 8465.21, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846521",2017,5075,846521
"Census Tract 8465.22, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846522",915,4185,846522
"Census Tract 8465.23, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846523",1070,2827,846523
"Census Tract 8465.24, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846524",1498,4967,846524
"Census Tract 8466.03, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:846603",865,3901,846603
"Census Tract 402, Franklin County, Illinois: Summary level: 140, state:17> county:055> tract:040200",1381,3011,040200
"Census Tract 411, Franklin County, Illinois: Summary level: 140, state:17> county:055> tract:041100",1483,3437,041100
"Census Tract 9734, Henderson County, Illinois: Summary level: 140, state:17> county:071> tract:973400",904,1843,973400
"Census Tract 9733, Henderson County, Illinois: Summary level: 140, state:17> county:071> tract:973300",1268,2405,973300
"Census Tract 9735, Henderson County, Illinois: Summary level: 140, state:17> county:071> tract:973500",1252,2636,973500
"Census Tract 102, McDonough County, Illinois: Summary level: 140, state:17> county:109> tract:010200",841,2011,010200
"Census Tract 109, McDonough County, Illinois: Summary level: 140, state:17> county:109> tract:010900",920,2991,010900
"Census Tract 110, McDonough County, Illinois: Summary level: 140, state:17> county:109> tract:011000",1115,2273,011000
"Census Tract 104, McDonough County, Illinois: Summary level: 140, state:17> county:109> tract:010400",1151,6117,010400
"Census Tract 106, McDonough County, Illinois: Summary level: 140, state:17> county:109> tract:010600",742,2415,010600
"Census Tract 101, McDonough County, Illinois: Summary level: 140, state:17> county:109> tract:010100",1326,3599,010100
"Census Tract 107, McDonough County, Illinois: Summary level: 140, state:17> county:109> tract:010700",2270,4595,010700
"Census Tract 103, McDonough County, Illinois: Summary level: 140, state:17> county:109> tract:010300",851,2167,010300
"Census Tract 111, McDonough County, Illinois: Summary level: 140, state:17> county:109> tract:011100",1228,2858,011100
"Census Tract 105, McDonough County, Illinois: Summary level: 140, state:17> county:109> tract:010500",10,1849,010500
"Census Tract 8701.01, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:870101",3030,7301,870101
"Census Tract 8706.06, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:870606",1569,4475,870606
"Census Tract 8707.04, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:870704",1550,3657,870704
"Census Tract 8708.12, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:870812",1508,4580,870812
"Census Tract 8710.03, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871003",1731,4903,871003
"Census Tract 8711.04, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871104",3710,17802,871104
"Census Tract 8712.02, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871202",1629,6000,871202
"Census Tract 8712.05, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871205",1429,4392,871205
"Census Tract 8713.04, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871304",1173,2828,871304
"Census Tract 8706.05, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:870605",2391,6290,870605
"Census Tract 8707.03, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:870703",1950,5197,870703
"Census Tract 8712.01, McHenry County, Illinois: Summary level: 140, state:17> county:111> tract:871201",2740,6663,871201
"Census Tract 8426.05, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:842605",1674,4384,842605
"Census Tract 8427.04, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:842704",2055,5527,842704
"Census Tract 8434, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:843400",1238,3500,843400
"Census Tract 8443.01, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:844301",2652,6445,844301
"Census Tract 8453, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:845300",1180,3328,845300
"Census Tract 8444.02, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:844402",2079,4546,844402
"Census Tract 8446.01, DuPage County, Illinois: Summary level: 140, state:17> county:043> tract:844601",2666,3827,844601
"Census Tract 3017.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:301701",815,3943,301701
"Census Tract 3018.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:301802",834,3509,301802
"Census Tract 3017.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:301702",896,4387,301702
"Census Tract 3018.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:301801",913,3625,301801
"Census Tract 3018.03, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:301803",1262,5011,301803
"Census Tract 4301.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:430101",1069,3118,430101
"Census Tract 4301.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:430102",1253,3046,430102
"Census Tract 4313.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:431301",926,3580,431301
"Census Tract 4313.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:431302",903,4204,431302
"Census Tract 4401.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:440101",1252,4105,440101
"Census Tract 4401.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:440102",1143,3266,440102
"Census Tract 4402.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:440202",1393,3213,440202
"Census Tract 4603.01, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:460301",714,3124,460301
"Census Tract 4603.02, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:460302",1010,3483,460302
"Census Tract 13.02, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:001302",208,2520,001302
"Census Tract 11.03, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:001103",1233,3100,001103
"Census Tract 13.01, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:001301",650,1759,001301
"Census Tract 21.01, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:002101",1944,5054,002101
"Census Tract 5.01, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:000501",551,2507,000501
"Census Tract 5.04, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:000504",1360,6109,000504
"Census Tract 11.04, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:001104",2670,8265,001104
"Census Tract 21.02, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:002102",696,1496,002102
"Census Tract 52.02, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:005202",1007,3289,005202
"Census Tract 55.02, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:005502",1070,2541,005502
"Census Tract 1.04, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:000104",2622,12201,000104
"Census Tract 16, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:001600",729,2669,001600
"Census Tract 5.02, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:000502",1202,2654,000502
"Census Tract 15, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:001500",589,2246,001500
"Census Tract 54, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:005400",2832,9986,005400
"Census Tract 17, McLean County, Illinois: Summary level: 140, state:17> county:113> tract:001700",657,2219,001700
"Census Tract 105, Boone County, Illinois: Summary level: 140, state:17> county:007> tract:010500",4784,10390,010500
"Census Tract 103, Boone County, Illinois: Summary level: 140, state:17> county:007> tract:010300",2468,6946,010300
"Census Tract 9650, Bureau County, Illinois: Summary level: 140, state:17> county:011> tract:965000",1390,3765,965000
"Census Tract 9652, Bureau County, Illinois: Summary level: 140, state:17> county:011> tract:965200",1409,3459,965200
"Census Tract 9649, Bureau County, Illinois: Summary level: 140, state:17> county:011> tract:964900",1013,2567,964900
"Census Tract 9651, Bureau County, Illinois: Summary level: 140, state:17> county:011> tract:965100",1610,3893,965100
"Census Tract 9656, Bureau County, Illinois: Summary level: 140, state:17> county:011> tract:965600",1270,2873,965600
"Census Tract 9647, Bureau County, Illinois: Summary level: 140, state:17> county:011> tract:964700",1308,2941,964700
"Census Tract 9648, Bureau County, Illinois: Summary level: 140, state:17> county:011> tract:964800",1321,3505,964800
"Census Tract 8503.01, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:850301",1326,8364,850301
"Census Tract 8519.04, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:851904",2821,7877,851904
"Census Tract 8520.02, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:852002",2182,6815,852002
"Census Tract 8525, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:852500",2565,6827,852500
"Census Tract 8529.04, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:852904",638,2781,852904
"Census Tract 8541, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:854100",1055,5151,854100
"Census Tract 8545.01, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:854501",4865,15548,854501
"Census Tract 8507.01, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:850701",6496,23210,850701
"Census Tract 8520.03, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:852003",4012,7667,852003
"Census Tract 8524.02, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:852402",2906,8751,852402
"Census Tract 8502.01, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:850201",1016,4235,850201
"Census Tract 8508, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:850800",2260,6617,850800
"Census Tract 8510, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:851000",2075,7265,851000
"Census Tract 8529.03, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:852903",2868,6321,852903
"Census Tract 8531, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:853100",847,3078,853100
"Census Tract 8540.01, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:854001",2307,4669,854001
"Census Tract 8524.03, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:852403",2178,5382,852403
"Census Tract 8530.01, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:853001",755,2792,853001
"Census Tract 8502.02, Kane County, Illinois: Summary level: 140, state:17> county:089> tract:850202",1267,6414,850202
"Census Tract 8839.02, Will County, Illinois: Summary level: 140, state:17> county:197> tract:883902",2665,6346,883902
"Census Tract 8801.07, Will County, Illinois: Summary level: 140, state:17> county:197> tract:880107",1551,5344,880107
"Census Tract 8810.06, Will County, Illinois: Summary level: 140, state:17> county:197> tract:881006",1024,2410,881006
"Census Tract 8815, Will County, Illinois: Summary level: 140, state:17> county:197> tract:881500",1191,3006,881500
"Census Tract 8825, Will County, Illinois: Summary level: 140, state:17> county:197> tract:882500",463,2246,882500
"Census Tract 5033.32, St. Clair County, Illinois: Summary level: 140, state:17> county:163> tract:503332",2023,4774,503332
"Census Tract 8, Adams County, Illinois: Summary level: 140, state:17> county:001> tract:000800",835,2714,000800
"Census Tract 5, Adams County, Illinois: Summary level: 140, state:17> county:001> tract:000500",780,2181,000500
"Census Tract 101, Adams County, Illinois: Summary level: 140, state:17> county:001> tract:010100",1719,4439,010100
"Census Tract 6, Adams County, Illinois: Summary level: 140, state:17> county:001> tract:000600",1413,3864,000600
"Census Tract 9, Adams County, Illinois: Summary level: 140, state:17> county:001> tract:000900",848,2802,000900
"Census Tract 4, Adams County, Illinois: Summary level: 140, state:17> county:001> tract:000400",1266,3384,000400
"Census Tract 103, Adams County, Illinois: Summary level: 140, state:17> county:001> tract:010300",2275,5845,010300
"Census Tract 105, Adams County, Illinois: Summary level: 140, state:17> county:001> tract:010500",1401,2924,010500
"Census Tract 2.02, Adams County, Illinois: Summary level: 140, state:17> county:001> tract:000202",700,2365,000202
"Census Tract 106, Adams County, Illinois: Summary level: 140, state:17> county:001> tract:010600",2675,6015,010600
"Census Tract 1, Adams County, Illinois: Summary level: 140, state:17> county:001> tract:000100",2164,4545,000100
"Census Tract 102, Adams County, Illinois: Summary level: 140, state:17> county:001> tract:010200",1390,3486,010200
"Census Tract 9005, Clinton County, Illinois: Summary level: 140, state:17> county:027> tract:900500",2296,6664,900500
"Census Tract 9001, Clinton County, Illinois: Summary level: 140, state:17> county:027> tract:900100",2243,6144,900100
"Census Tract 9003, Clinton County, Illinois: Summary level: 140, state:17> county:027> tract:900300",2846,7168,900300
"Census Tract 9002, Clinton County, Illinois: Summary level: 140, state:17> county:027> tract:900200",813,1982,900200
"Census Tract 14, DeKalb County, Illinois: Summary level: 140, state:17> county:037> tract:001400",1708,6786,001400
"Census Tract 21, DeKalb County, Illinois: Summary level: 140, state:17> county:037> tract:002100",839,2352,002100
"Census Tract 8, DeKalb County, Illinois: Summary level: 140, state:17> county:037> tract:000800",1963,6116,000800
"Census Tract 16, DeKalb County, Illinois: Summary level: 140, state:17> county:037> tract:001600",1244,4380,001600
"Census Tract 9629, LaSalle County, Illinois: Summary level: 140, state:17> county:099> tract:962900",1084,2857,962900
"Census Tract 9630, LaSalle County, Illinois: Summary level: 140, state:17> county:099> tract:963000",2397,4580,963000
"Census Tract 4010, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:401000",754,2439,401000
"Census Tract 4017.01, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:401701",898,2678,401701
"Census Tract 4022, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:402200",1059,3331,402200
"Census Tract 4031.21, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:403121",3464,9129,403121
"Census Tract 4034.01, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:403401",1350,3833,403401
"Census Tract 4036.01, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:403601",1371,3363,403601
"Census Tract 4038.01, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:403801",1883,5215,403801
"Census Tract 4008.02, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:400802",2487,6208,400802
"Census Tract 4017.21, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:401721",2013,5620,401721
"Census Tract 4028.02, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:402802",3259,8063,402802
"Census Tract 4034.02, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:403402",1896,6090,403402
"Census Tract 4035.32, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:403532",1534,5119,403532
"Census Tract 4018, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:401800",2372,5851,401800
"Census Tract 4028.01, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:402801",1957,3537,402801
"Census Tract 4001.01, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:400101",1225,2775,400101
"Census Tract 4009.03, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:400903",1789,5135,400903
"Census Tract 4035.02, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:403502",2741,5771,403502
"Census Tract 4019.01, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:401901",681,1859,401901
"Census Tract 4013, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:401300",1715,5144,401300
"Census Tract 4031.01, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:403101",1236,6908,403101
"Census Tract 4012, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:401200",645,1647,401200
"Census Tract 4038.02, Madison County, Illinois: Summary level: 140, state:17> county:119> tract:403802",1787,4316,403802
"Census Tract 8, Grundy County, Illinois: Summary level: 140, state:17> county:063> tract:000800",1240,5183,000800
"Census Tract 4, Grundy County, Illinois: Summary level: 140, state:17> county:063> tract:000400",2312,5769,000400
"Census Tract 2, Grundy County, Illinois: Summary level: 140, state:17> county:063> tract:000200",2401,7017,000200
"Census Tract 6, Grundy County, Illinois: Summary level: 140, state:17> county:063> tract:000600",1187,3002,000600
"Census Tract 3, Grundy County, Illinois: Summary level: 140, state:17> county:063> tract:000300",1108,2856,000300
"Census Tract 5, Grundy County, Illinois: Summary level: 140, state:17> county:063> tract:000500",1288,2926,000500
"Census Tract 9, Grundy County, Illinois: Summary level: 140, state:17> county:063> tract:000900",1510,4008,000900
"Census Tract 7, Grundy County, Illinois: Summary level: 140, state:17> county:063> tract:000700",2250,5437,000700
"Census Tract 107, Jackson County, Illinois: Summary level: 140, state:17> county:077> tract:010700",1275,3529,010700
"Census Tract 109, Jackson County, Illinois: Summary level: 140, state:17> county:077> tract:010900",684,2292,010900
"Census Tract 110, Jackson County, Illinois: Summary level: 140, state:17> county:077> tract:011000",3032,6454,011000
"Census Tract 111, Jackson County, Illinois: Summary level: 140, state:17> county:077> tract:011100",327,3153,011100
"Census Tract 112, Jackson County, Illinois: Summary level: 140, state:17> county:077> tract:011200",670,4719,011200
"Census Tract 103, Jackson County, Illinois: Summary level: 140, state:17> county:077> tract:010300",1238,2773,010300
"Census Tract 108, Jackson County, Illinois: Summary level: 140, state:17> county:077> tract:010800",1134,3682,010800
"Census Tract 116, Jackson County, Illinois: Summary level: 140, state:17> county:077> tract:011600",1642,3858,011600
"Census Tract 114, Jackson County, Illinois: Summary level: 140, state:17> county:077> tract:011400",368,3677,011400
"Census Tract 104, Jackson County, Illinois: Summary level: 140, state:17> county:077> tract:010400",2020,4731,010400
"Census Tract 101, Jackson County, Illinois: Summary level: 140, state:17> county:077> tract:010100",1318,3074,010100
"Census Tract 2, Peoria County, Illinois: Summary level: 140, state:17> county:143> tract:000200",518,1785,000200
"Census Tract 6, Peoria County, Illinois: Summary level: 140, state:17> county:143> tract:000600",1133,3350,000600
"Census Tract 8190, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:819000",1626,4538,819000
"Census Tract 8193, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:819300",883,2804,819300
"Census Tract 8204, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:820400",1632,5715,820400
"Census Tract 8208, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:820800",1213,3985,820800
"Census Tract 1701, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:170100",1265,2058,170100
"Census Tract 1707, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:170700",1046,3177,170700
"Census Tract 1901, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:190100",779,2606,190100
"Census Tract 2205, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:220500",415,2607,220500
"Census Tract 106.02, Boone County, Illinois: Summary level: 140, state:17> county:007> tract:010602",3406,12065,010602
"Census Tract 3.01, Champaign County, Illinois: Summary level: 140, state:17> county:019> tract:000301",116,5233,000301
"Census Tract 3.02, Champaign County, Illinois: Summary level: 140, state:17> county:019> tract:000302",70,3147,000302
"Census Tract 4.01, Champaign County, Illinois: Summary level: 140, state:17> county:019> tract:000401",5,5050,000401
"Census Tract 4.02, Champaign County, Illinois: Summary level: 140, state:17> county:019> tract:000402",12,4072,000402
"Census Tract 54.01, Champaign County, Illinois: Summary level: 140, state:17> county:019> tract:005401",1223,4289,005401
"Census Tract 54.02, Champaign County, Illinois: Summary level: 140, state:17> county:019> tract:005402",1448,3497,005402
"Census Tract 57.01, Champaign County, Illinois: Summary level: 140, state:17> county:019> tract:005701",1841,4824,005701
"Census Tract 57.02, Champaign County, Illinois: Summary level: 140, state:17> county:019> tract:005702",1401,3592,005702
"Census Tract 102.04, Champaign County, Illinois: Summary level: 140, state:17> county:019> tract:010204",1693,4654,010204
"Census Tract 106.03, Champaign County, Illinois: Summary level: 140, state:17> county:019> tract:010603",2592,7756,010603
"Census Tract 106.04, Champaign County, Illinois: Summary level: 140, state:17> county:019> tract:010604",1310,2510,010604
"Census Tract 110, Champaign County, Illinois: Summary level: 140, state:17> county:019> tract:011000",1009,4168,011000
"Census Tract 111, Champaign County, Illinois: Summary level: 140, state:17> county:019> tract:011100",168,2398,011100
"Census Tract 9004.01, Clinton County, Illinois: Summary level: 140, state:17> county:027> tract:900401",603,1301,900401
"Census Tract 302, Perry County, Illinois: Summary level: 140, state:17> county:145> tract:030200",2715,7314,030200
"Census Tract 301, Perry County, Illinois: Summary level: 140, state:17> county:145> tract:030100",1273,2870,030100
"Census Tract 303, Perry County, Illinois: Summary level: 140, state:17> county:145> tract:030300",834,2208,030300
"Census Tract 9525, Pike County, Illinois: Summary level: 140, state:17> county:149> tract:952500",1021,2711,952500
"Census Tract 9526, Pike County, Illinois: Summary level: 140, state:17> county:149> tract:952600",1277,2870,952600
"Census Tract 9524, Pike County, Illinois: Summary level: 140, state:17> county:149> tract:952400",1438,3495,952400
"Census Tract 9528, Pike County, Illinois: Summary level: 140, state:17> county:149> tract:952800",951,2229,952800
"Census Tract 9527, Pike County, Illinois: Summary level: 140, state:17> county:149> tract:952700",1794,4449,952700
"Census Tract 9712, Pope County, Illinois: Summary level: 140, state:17> county:151> tract:971200",1361,2267,971200
"Census Tract 9713, Pope County, Illinois: Summary level: 140, state:17> county:151> tract:971300",1010,1982,971300
"Census Tract 208, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:020800",2050,4892,020800
"Census Tract 210, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:021000",1376,3820,021000
"Census Tract 211, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:021100",1494,3408,021100
"Census Tract 212, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:021200",2008,4313,021200
"Census Tract 214, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:021400",408,1338,021400
"Census Tract 226, Rock Island County, Illinois: Summary level: 140, state:17> county:161> tract:022600",651,2308,022600
"Census Tract 8261, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:826100",1742,6780,826100
"Census Tract 8263.04, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:826304",991,2723,826304
"Census Tract 2423, Cook County, Illinois: Summary level: 140, state:17> county:031> tract:242300",671,3306,242300
"Census Tract 9612, Ogle County, Illinois: Summary level: 140, state:17> county:141> tract:961200",2032,5587,961200
"Census Tract 9613, Ogle County, Illinois: Summary level: 140, state:17> county:141> tract:961300",2421,4937,961300
"Census Tract 9615, Ogle County, Illinois: Summary level: 140, state:17> county:141> tract:961500",1917,4395,961500
"Census Tract 9608, Ogle County, Illinois: Summary level: 140, state:17> county:141> tract:960800",1490,3549,960800
"Census Tract 9609, Ogle County, Illinois: Summary level: 140, state:17> county:141> tract:960900",2041,4344,960900
"Census Tract 9616, Ogle County, Illinois: Summary level: 140, state:17> county:141> tract:961600",899,3311,961600
"Census Tract 29.02, Macon County, Illinois: Summary level: 140, state:17> county:115> tract:002902",1930,5033,002902
"Census Tract 14, Macon County, Illinois: Summary level: 140, state:17> county:115> tract:001400",1208,2668,001400
"Census Tract 21, Macon County, Illinois: Summary level: 140, state:17> county:115> tract:002100",430,1328,002100
"Census Tract 24.02, Macon County, Illinois: Summary level: 140, state:17> county:115> tract:002402",2180,4904,002402
"Census Tract 28, Macon County, Illinois: Summary level: 140, state:17> county:115> tract:002800",1683,4278,002800
"Census Tract 2, Macon County, Illinois: Summary level: 140, state:17> county:115> tract:000200",678,2552,000200
"Census Tract 4, Macon County, Illinois: Summary level: 140, state:17> county:115> tract:000400",496,1169,000400
"Census Tract 11, Macon County, Illinois: Summary level: 140, state:17> county:115> tract:001100",1739,3605,001100
"Census Tract 13, Macon County, Illinois: Summary level: 140, state:17> county:115> tract:001300",1174,2647,001300
"Census Tract 16, Macon County, Illinois: Summary level: 140, state:17> county:115> tract:001600",522,2439,001600
