,reportDate,ZCTA5CE10,cases,total_tested,pop
945,2021-07-14T00:00:00,62266,25,250,102
946,2021-07-14T00:00:00,62268,66,789,861
947,2021-07-14T00:00:00,62269,3589,44126,31567
948,2021-07-14T00:00:00,62271,225,2092,1994
949,2021-07-14T00:00:00,62272,205,2291,1859
950,2021-07-14T00:00:00,62273,41,458,147
951,2021-07-14T00:00:00,62274,1605,42248,7699
952,2021-07-14T00:00:00,62275,420,4018,3824
953,2021-07-14T00:00:00,62277,139,1595,1197
954,2021-07-14T00:00:00,62278,1055,11153,6426
955,2021-07-14T00:00:00,62279,6,80,0
956,2021-07-14T00:00:00,62280,27,569,550
957,2021-07-14T00:00:00,62281,431,3130,2856
958,2021-07-14T00:00:00,62282,73,611,389
959,2021-07-14T00:00:00,62284,70,863,574
960,2021-07-14T00:00:00,62285,606,6432,4510
961,2021-07-14T00:00:00,62286,798,11980,6230
962,2021-07-14T00:00:00,62288,429,5948,2891
963,2021-07-14T00:00:00,62289,56,449,330
964,2021-07-14T00:00:00,62292,56,1157,895
965,2021-07-14T00:00:00,62293,635,7193,4437
966,2021-07-14T00:00:00,62294,1964,16430,14156
967,2021-07-14T00:00:00,62295,173,1243,1493
968,2021-07-14T00:00:00,62297,44,612,452
969,2021-07-14T00:00:00,62298,2264,29133,16826
970,2021-07-14T00:00:00,62301,4465,113266,32350
971,2021-07-14T00:00:00,62305,2613,26647,19081
972,2021-07-14T00:00:00,62311,76,1053,701
973,2021-07-14T00:00:00,62312,282,3045,1951
974,2021-07-14T00:00:00,62313,38,360,372
975,2021-07-14T00:00:00,62314,53,705,479
976,2021-07-14T00:00:00,62316,103,934,662
977,2021-07-14T00:00:00,62320,351,3949,2494
978,2021-07-14T00:00:00,62321,413,4867,3806
979,2021-07-14T00:00:00,62323,17,378,241
980,2021-07-14T00:00:00,62324,137,1968,1112
981,2021-07-14T00:00:00,62325,50,330,501
982,2021-07-14T00:00:00,62326,204,3389,2510
983,2021-07-14T00:00:00,62330,114,1130,1786
984,2021-07-14T00:00:00,62334,9,167,167
985,2021-07-14T00:00:00,62338,145,1667,1401
986,2021-07-14T00:00:00,62339,126,1815,829
987,2021-07-14T00:00:00,62340,166,2209,1906
988,2021-07-14T00:00:00,62341,361,4321,3425
989,2021-07-14T00:00:00,62343,74,602,860
990,2021-07-14T00:00:00,62344,9,258,5
991,2021-07-14T00:00:00,62345,35,221,382
992,2021-07-14T00:00:00,62346,25,213,160
993,2021-07-14T00:00:00,62347,261,2872,1992
994,2021-07-14T00:00:00,62349,76,714,695
995,2021-07-14T00:00:00,62351,232,2092,1708
996,2021-07-14T00:00:00,62352,23,249,289
997,2021-07-14T00:00:00,62353,649,28426,5224
998,2021-07-14T00:00:00,62354,164,1126,1484
999,2021-07-14T00:00:00,62355,83,872,745
1000,2021-07-14T00:00:00,62356,68,582,402
1001,2021-07-14T00:00:00,62357,23,235,462
1002,2021-07-14T00:00:00,62358,61,512,779
1003,2021-07-14T00:00:00,62359,17,228,159
1004,2021-07-14T00:00:00,62360,234,2719,1651
1005,2021-07-14T00:00:00,62361,24,699,362
1006,2021-07-14T00:00:00,62362,43,467,303
1007,2021-07-14T00:00:00,62363,848,10198,5694
1008,2021-07-14T00:00:00,62365,73,649,477
1009,2021-07-14T00:00:00,62366,148,1487,1637
1010,2021-07-14T00:00:00,62367,73,1530,1021
1011,2021-07-14T00:00:00,62370,45,534,407
1012,2021-07-14T00:00:00,62373,37,279,203
1013,2021-07-14T00:00:00,62374,19,488,337
1014,2021-07-14T00:00:00,62375,40,474,335
1015,2021-07-14T00:00:00,62376,139,1517,1110
1016,2021-07-14T00:00:00,62378,65,1042,1047
1017,2021-07-14T00:00:00,62379,220,2133,1947
1018,2021-07-14T00:00:00,62380,32,372,552
1019,2021-07-14T00:00:00,62401,2735,25641,18886
1020,2021-07-14T00:00:00,62410,78,992,1377
1021,2021-07-14T00:00:00,62411,511,6381,4145
1022,2021-07-14T00:00:00,62413,53,344,277
1023,2021-07-14T00:00:00,62414,238,2140,1888
1024,2021-07-14T00:00:00,62417,335,5513,2920
1025,2021-07-14T00:00:00,62418,283,3165,2180
1026,2021-07-14T00:00:00,62419,39,488,185
1027,2021-07-14T00:00:00,62420,603,7249,4675
1028,2021-07-14T00:00:00,62421,70,805,593
1029,2021-07-14T00:00:00,62422,131,1282,1014
1030,2021-07-14T00:00:00,62423,61,444,642
1031,2021-07-14T00:00:00,62424,320,2130,2421
1032,2021-07-14T00:00:00,62425,55,766,431
1033,2021-07-14T00:00:00,62426,88,989,891
1034,2021-07-14T00:00:00,62427,122,1734,1781
1035,2021-07-14T00:00:00,62428,343,4172,2915
1036,2021-07-14T00:00:00,62431,113,1120,1030
1037,2021-07-14T00:00:00,62432,74,617,521
1038,2021-07-14T00:00:00,62433,112,1413,994
1039,2021-07-14T00:00:00,62434,35,301,365
1040,2021-07-14T00:00:00,62436,69,580,713
1041,2021-07-14T00:00:00,62438,22,322,334
1042,2021-07-14T00:00:00,62439,758,9613,7107
1043,2021-07-14T00:00:00,62440,133,1643,1288
1044,2021-07-14T00:00:00,62441,835,7840,6707
1045,2021-07-14T00:00:00,62442,258,2304,2643
1046,2021-07-14T00:00:00,62443,191,1470,1538
1047,2021-07-14T00:00:00,62444,39,280,370
1048,2021-07-14T00:00:00,62445,125,912,1278
1049,2021-07-14T00:00:00,62446,47,395,372
1050,2021-07-14T00:00:00,62447,436,5248,3366
1051,2021-07-14T00:00:00,62448,787,9330,5383
1052,2021-07-14T00:00:00,62449,341,4494,2963
1053,2021-07-14T00:00:00,62450,1416,24549,12216
1054,2021-07-14T00:00:00,62451,194,2602,1958
1055,2021-07-14T00:00:00,62452,36,415,293
1056,2021-07-14T00:00:00,62454,1316,28587,11166
1057,2021-07-14T00:00:00,62458,338,5640,2077
1058,2021-07-14T00:00:00,62459,22,354,344
1059,2021-07-14T00:00:00,62460,109,950,1297
1060,2021-07-14T00:00:00,62461,115,971,724
1061,2021-07-14T00:00:00,62462,113,803,942
1062,2021-07-14T00:00:00,62463,135,1278,1230
1063,2021-07-14T00:00:00,62465,100,871,960
1064,2021-07-14T00:00:00,62466,1201,57492,4605
1065,2021-07-14T00:00:00,62467,581,3359,4259
1066,2021-07-14T00:00:00,62468,286,3125,2492
1067,2021-07-14T00:00:00,62469,61,517,517
1068,2021-07-14T00:00:00,62471,1700,20173,10306
1069,2021-07-14T00:00:00,62473,176,1300,1262
1070,2021-07-14T00:00:00,62474,78,937,897
1071,2021-07-14T00:00:00,62475,29,326,503
1072,2021-07-14T00:00:00,62476,127,1264,1533
1073,2021-07-14T00:00:00,62477,83,834,732
1074,2021-07-14T00:00:00,62478,37,331,409
1075,2021-07-14T00:00:00,62479,108,1021,1027
1076,2021-07-14T00:00:00,62480,56,960,485
1077,2021-07-14T00:00:00,62481,25,441,485
1078,2021-07-14T00:00:00,62501,235,3803,2585
1079,2021-07-14T00:00:00,62510,165,2005,1496
1080,2021-07-14T00:00:00,62512,39,715,456
1081,2021-07-14T00:00:00,62513,122,2251,1724
1082,2021-07-14T00:00:00,62514,23,210,305
1083,2021-07-14T00:00:00,62515,79,1547,1164
1084,2021-07-14T00:00:00,62517,15,421,214
1085,2021-07-14T00:00:00,62518,33,778,159
1086,2021-07-14T00:00:00,62519,7,148,90
1087,2021-07-14T00:00:00,62520,136,2202,1576
1088,2021-07-14T00:00:00,62521,3687,56007,35261
1089,2021-07-14T00:00:00,62522,1368,22997,15379
1090,2021-07-14T00:00:00,62523,96,2014,1382
1091,2021-07-14T00:00:00,62526,3264,60392,31544
1092,2021-07-14T00:00:00,62530,131,2131,1356
1093,2021-07-14T00:00:00,62531,190,2393,1647
1094,2021-07-14T00:00:00,62532,13,90,70
1095,2021-07-14T00:00:00,62533,83,1134,776
1096,2021-07-14T00:00:00,62534,117,1549,1307
1097,2021-07-14T00:00:00,62535,482,10584,3011
1098,2021-07-14T00:00:00,62536,62,1439,667
1099,2021-07-14T00:00:00,62537,11,256,80
1100,2021-07-14T00:00:00,62538,28,321,537
1101,2021-07-14T00:00:00,62539,128,1788,1247
1102,2021-07-14T00:00:00,62540,134,1872,1549
1103,2021-07-14T00:00:00,62543,41,728,483
1104,2021-07-14T00:00:00,62544,181,3394,1677
1105,2021-07-14T00:00:00,62545,122,1747,1158
1106,2021-07-14T00:00:00,62546,156,1917,1740
1107,2021-07-14T00:00:00,62547,65,932,992
1108,2021-07-14T00:00:00,62548,269,6049,2443
1109,2021-07-14T00:00:00,62549,830,10535,6354
1110,2021-07-14T00:00:00,62550,335,3978,2790
1111,2021-07-14T00:00:00,62551,75,1132,743
1112,2021-07-14T00:00:00,62553,53,538,528
1113,2021-07-14T00:00:00,62554,150,2466,1290
1114,2021-07-14T00:00:00,62555,30,547,456
1115,2021-07-14T00:00:00,62556,33,409,344
1116,2021-07-14T00:00:00,62557,838,12425,7127
1117,2021-07-14T00:00:00,62558,359,5191,3341
1118,2021-07-14T00:00:00,62560,164,2089,1355
1119,2021-07-14T00:00:00,62561,538,8242,5405
1120,2021-07-14T00:00:00,62563,585,9438,5567
1121,2021-07-14T00:00:00,62565,801,13717,7046
1122,2021-07-14T00:00:00,62567,109,1193,1030
1123,2021-07-14T00:00:00,62568,2030,35001,15612
1124,2021-07-14T00:00:00,62570,43,746,454
1125,2021-07-14T00:00:00,62571,112,1589,1628
1126,2021-07-14T00:00:00,62572,33,620,488
1127,2021-07-14T00:00:00,62573,147,2053,1803
1128,2021-07-14T00:00:00,62601,42,572,293
1129,2021-07-14T00:00:00,62610,19,307,119
1130,2021-07-14T00:00:00,62611,103,1108,1108
1131,2021-07-14T00:00:00,62612,233,3180,1832
1132,2021-07-14T00:00:00,62613,417,6070,3862
